Faculty,Program,SLC,Eng,Math,Physics,Chemistry,Plus_Two,Eng1,Math2,Phy_Acc,Che_Eco,Mixed,School_From_Govt,School_From_Private,Parent_Education_Bachelor,Parent_Education_Master,Parent_Education_PHD,Parent_Education_PlusTwo,Parent_Education_SLC,GPAA,Pass,GPAM,GPA
Engineering,BE.Computer Eng.,1.168430253,1.166341777,-0.892202373,0.561314375,1.134001315,1.159420585,0.621491113,0.558389187,-0.375137778,0.461394575,1.304349421,0,1,0,0,0,0,1,B+,1,80,3.23
Engineering,BE.Computer Eng.,-0.639249318,0.384012528,0.381604629,-0.120898481,1.787914482,0.753057559,-0.052723384,-0.672452152,-0.375137778,-0.238672738,0.303386185,0,1,0,1,0,0,0,C+,1,65,2.27
Engineering,BE.Computer Eng.,0.751273429,0.384012528,0.381604629,0.561314375,-0.173825019,-0.249304574,-0.052723384,-0.535692003,-0.680487476,0.041354187,0.053145376,1,0,1,0,0,0,0,B-,1,70,2.57
Engineering,BE.Computer Eng.,1.307482527,1.166341777,1.655411632,1.243527231,1.134001315,1.836692297,0.756334012,0.148108741,-0.22246293,0.041354187,0.17826578,1,0,0,0,0,1,0,A-,1,85,3.57
Engineering,BE.Computer Eng.,0.334116605,1.166341777,-0.255298872,-0.120898481,-0.827738186,-0.249304574,1.026019811,1.105429782,0.693586162,0.881434962,-0.322215838,1,0,0,0,0,1,0,A,1,90,3.76
Engineering,BE.Computer Eng.,0.890325703,0.384012528,1.018508131,0.561314375,1.787914482,1.159420585,1.026019811,0.831909484,0.693586162,0.741421499,-0.197095433,0,1,0,1,0,0,0,A-,1,85,3.47
Engineering,BE.Computer Eng.,1.168430253,0.384012528,1.655411632,-1.485324193,-1.481651353,-0.249304574,-1.670838177,-1.356252896,-0.833162324,-0.238672738,-0.322215838,1,0,0,0,0,0,1,F,0,0,0
Engineering,BE.Computer Eng.,0.473168879,-0.39831672,0.381604629,-0.803111337,1.134001315,0.319603663,-0.052723384,-0.125411557,-0.527812627,0.321381112,0.303386185,0,1,0,0,0,0,1,F,0,0,0
Engineering,BE.Computer Eng.,0.473168879,0.384012528,0.381604629,-0.120898481,-0.827738186,0.319603663,-1.266309479,-0.672452152,-0.680487476,-0.238672738,-0.322215838,0,1,0,0,0,0,1,F,0,0,0
Engineering,BE.Computer Eng.,0.334116605,0.384012528,1.018508131,0.561314375,0.480088148,0.888511901,0.621491113,-0.535692003,-0.527812627,0.18136765,0.803867803,0,1,0,0,0,1,0,F,0,0,0
Engineering,BE.Computer Eng.,0.473168879,-0.39831672,0.381604629,-2.167537049,-0.173825019,-0.655667601,0.891176912,0.421629038,0.693586162,0.741421499,0.428506589,1,0,0,0,0,1,0,B-,1,70,2.7
Engineering,BE.Computer Eng.,0.751273429,1.166341777,1.018508131,1.243527231,0.480088148,1.07814798,-5.44643936,-5.459057359,-6.176782025,-5.699197773,-4.951670803,1,0,0,0,0,1,0,F,0,0,0
Engineering,BE.Computer Eng.,0.612221154,-0.39831672,1.018508131,1.243527231,1.134001315,0.888511901,-1.401152378,-0.535692003,-0.833162324,0.041354187,-0.071975029,1,0,0,0,0,1,0,C,1,60,2
Engineering,BE.Computer Eng.,0.19506433,0.384012528,0.381604629,-0.120898481,-0.827738186,-1.658029734,-0.726937881,-0.398931854,-0.680487476,0.041354187,0.053145376,1,0,1,0,0,0,0,F,0,0,0
Engineering,BE.Computer Eng.,-0.889543412,0.384012528,0.381604629,-0.120898481,1.787914482,0.563421479,-0.457252082,-0.535692003,-0.680487476,0.041354187,-0.447336242,0,1,0,0,0,1,0,F,0,0,0
Engineering,BE.Computer Eng.,0.890325703,1.166341777,-0.892202373,-0.120898481,1.787914482,0.698875822,0.621491113,0.421629038,0.082886767,0.041354187,0.17826578,1,0,0,0,0,0,1,F,0,0,0
Engineering,BE.Computer Eng.,-1.55699433,-0.39831672,-0.255298872,-0.120898481,-0.827738186,-0.574394996,-0.457252082,-0.672452152,-0.680487476,-0.098659275,-0.197095433,1,0,1,0,0,0,0,F,0,0,0
Engineering,BE.Computer Eng.,0.612221154,-1.180645968,1.655411632,1.243527231,1.787914482,1.945055771,-0.726937881,-0.535692003,-0.069788081,0.18136765,0.428506589,0,1,0,1,0,0,0,F,0,0,0
Engineering,BE.Computer Eng.,1.446534802,0.384012528,1.655411632,1.925740088,1.787914482,1.836692297,0.486648214,-0.262171706,0.693586162,0.18136765,-0.071975029,1,0,1,0,0,0,0,A-,1,85,3.48
Engineering,BE.Computer Eng.,0.612221154,-0.39831672,-0.255298872,-0.803111337,-0.173825019,-0.249304574,-0.052723384,-0.535692003,-0.527812627,0.461394575,-0.071975029,1,0,0,0,0,1,0,F,0,0,0
Engineering,BE.Computer Eng.,0.751273429,0.384012528,-0.255298872,-0.120898481,-0.173825019,0.265421926,0.621491113,-0.535692003,0.082886767,0.041354187,0.053145376,1,0,0,0,0,0,1,C,1,60,2
Engineering,BE.Computer Eng.,0.19506433,-0.39831672,0.381604629,0.561314375,0.480088148,0.698875822,-0.457252082,-0.535692003,-0.680487476,-0.098659275,-0.071975029,0,1,1,0,0,0,0,F,0,0,0
Engineering,BE.Computer Eng.,0.334116605,0.384012528,0.381604629,-0.803111337,-0.173825019,0.292512795,-0.726937881,-0.398931854,-0.680487476,0.321381112,0.17826578,0,1,0,0,0,1,0,B,1,75,2.89
Engineering,BE.Computer Eng.,0.751273429,0.384012528,0.381604629,0.561314375,-0.173825019,-0.655667601,-2.345052674,-0.672452152,-0.833162324,-0.238672738,-1.072938265,0,1,1,0,0,0,0,F,0,0,0
Engineering,BE.Computer Eng.,0.751273429,-0.39831672,-1.529105874,-0.803111337,-0.173825019,-0.899485417,-1.401152378,-0.672452152,-0.680487476,0.041354187,-0.572456647,1,0,0,0,0,1,0,F,0,0,0
Engineering,BE.Computer Eng.,0.612221154,0.384012528,-1.529105874,-0.120898481,-0.173825019,0.888511901,-0.726937881,1.242189931,0.388236465,0.601408037,0.303386185,0,1,0,0,0,1,0,A-,1,85,3.58
Engineering,BE.Computer Eng.,0.751273429,-0.39831672,-0.892202373,-0.120898481,-0.173825019,-0.438940653,0.216962415,-0.125411557,0.235561616,0.18136765,0.17826578,0,1,0,0,0,0,1,C,1,60,2
Engineering,BE.Computer Eng.,1.307482527,1.166341777,1.655411632,1.925740088,1.134001315,2.026328376,1.026019811,0.831909484,0.84626101,0.881434962,0.928988207,1,0,0,0,0,1,0,A,1,90,3.71
Engineering,BE.Computer Eng.,0.751273429,0.384012528,-0.255298872,-0.803111337,-0.173825019,0.319603663,0.621491113,1.105429782,0.693586162,0.741421499,0.678747398,1,0,1,0,0,0,0,C,1,60,1.9
Engineering,BE.Computer Eng.,0.890325703,1.166341777,1.655411632,1.243527231,0.480088148,1.267784059,0.891176912,0.558389187,0.84626101,0.741421499,0.053145376,0,1,0,0,0,1,0,F,0,0,0
Engineering,BE.Computer Eng.,0.19506433,-0.39831672,1.018508131,0.561314375,1.134001315,0.888511901,-0.052723384,0.968669633,0.693586162,0.881434962,0.928988207,1,0,0,1,0,0,0,B-,1,70,2.47
Engineering,BE.Computer Eng.,-0.444576133,-0.39831672,-0.255298872,0.561314375,0.480088148,0.509239742,0.216962415,0.695149336,-0.527812627,0.18136765,0.303386185,1,0,0,1,0,0,0,B,1,75,2.74
Engineering,BE.Computer Eng.,1.529966167,-0.39831672,1.655411632,-0.120898481,-0.827738186,0.509239742,0.621491113,0.284868889,0.235561616,0.741421499,0.553626994,0,1,0,0,0,0,1,B,1,75,2.83
Engineering,BE.Computer Eng.,0.612221154,0.384012528,1.018508131,-0.120898481,-0.173825019,0.319603663,-1.401152378,1.242189931,-0.527812627,0.461394575,0.053145376,0,1,0,0,0,0,1,F,0,0,0
Engineering,BE.Computer Eng.,0.890325703,1.166341777,1.655411632,0.561314375,0.480088148,1.07814798,-1.401152378,0.284868889,-0.680487476,0.18136765,-0.071975029,0,1,0,0,0,1,0,F,0,0,0
Engineering,BE.Computer Eng.,0.890325703,1.166341777,1.655411632,0.561314375,0.480088148,1.267784059,0.082119515,-0.535692003,0.082886767,0.18136765,0.553626994,0,1,1,0,0,0,0,F,0,0,0
Engineering,BE.Computer Eng.,0.612221154,1.166341777,1.655411632,0.561314375,0.480088148,1.267784059,-0.187566283,0.284868889,-0.069788081,0.461394575,0.553626994,0,1,0,0,0,1,0,B-,1,70,2.59
Engineering,BE.Computer Eng.,0.473168879,1.166341777,0.381604629,1.243527231,0.480088148,1.023966243,-0.726937881,0.968669633,-0.375137778,0.041354187,-0.071975029,0,1,0,0,0,0,1,F,0,0,0
Engineering,BE.Computer Eng.,0.25068524,0.384012528,-0.255298872,-0.120898481,1.134001315,0.427967137,0.082119515,-0.94597245,0.693586162,0.881434962,0.803867803,0,1,1,0,0,0,0,B,1,75,2.82
Engineering,BE.Computer Eng.,0.751273429,0.384012528,1.655411632,-0.120898481,0.480088148,0.698875822,0.621491113,0.558389187,0.693586162,0.881434962,0.428506589,1,0,1,0,0,0,0,B+,1,80,3.2
Engineering,BE.Software Eng,0.473168879,-0.39831672,0.381604629,-1.485324193,1.134001315,-0.059668495,-0.99662368,-0.125411557,0.540911313,0.461394575,-0.071975029,0,1,0,0,0,0,1,F,0,0,0
Engineering,BE.Software Eng,1.168430253,0.384012528,0.381604629,1.243527231,1.134001315,0.698875822,0.621491113,0.148108741,0.693586162,-0.238672738,0.17826578,1,0,1,0,0,0,0,B,1,75,2.92
Engineering,BE.Software Eng,-0.778301592,-0.39831672,0.381604629,-1.485324193,1.134001315,0.509239742,-0.322409183,0.284868889,0.388236465,0.041354187,0.303386185,1,0,0,0,0,1,0,F,0,0,0
Engineering,BE.Software Eng,0.612221154,1.166341777,1.655411632,1.925740088,1.134001315,2.026328376,-0.052723384,-0.809212301,0.84626101,0.041354187,-0.697577051,1,0,1,0,0,0,0,B+,1,80,3.11
Engineering,BE.Software Eng,0.473168879,-0.39831672,1.018508131,-0.120898481,0.480088148,0.509239742,1.026019811,1.242189931,0.693586162,0.881434962,1.179229016,1,0,1,0,0,0,0,A-,1,85,3.31
Engineering,BE.Software Eng,1.307482527,-0.39831672,-0.892202373,-0.803111337,-0.827738186,1.890874034,0.082119515,0.011348592,0.693586162,0.741421499,0.053145376,0,1,1,0,0,0,0,A,1,90,3.72
Engineering,BE.Software Eng,0.612221154,1.166341777,1.018508131,1.243527231,0.480088148,1.267784059,-0.322409183,0.284868889,0.693586162,-0.238672738,0.303386185,1,0,1,0,0,0,0,C,1,60,1.9
