SLC,Eng,Math,Physics,Chemistry,Plus_Two,Eng1,Math2,Phy_Acc,Che_Eco,Mixed,GPA,GPAM,GPAA,School_From,Parent_Education,Pass
3.8,3.6,2.4,3.2,3.6,3.46,45,44,38,44,50,3.23,80,B+,Private,SLC,1
3.15,3.2,3.2,2.8,4,3.31,40,35,38,39,42,2.27,65,C+,Private,Master,1
3.65,3.2,3.2,3.2,2.8,2.94,40,36,36,41,40,2.57,70,B-,Govt,Bachelor,1
3.85,3.6,4,3.6,3.6,3.71,46,41,39,41,41,3.57,85,A-,Govt,PlusTwo,1
3.5,3.6,2.8,2.8,2.4,2.94,48,48,45,47,37,3.76,90,A,Govt,PlusTwo,1
3.7,3.2,3.6,3.2,4,3.46,48,46,45,46,38,3.47,85,A-,Private,Master,1
3.8,3.2,4,2,2,2.94,28,30,35,39,37,0,0,F,Govt,SLC,0
3.55,2.8,3.2,2.4,3.6,3.15,40,39,37,43,42,0,0,F,Private,SLC,0
3.55,3.2,3.2,2.8,2.4,3.15,31,35,36,39,37,0,0,F,Private,SLC,0
3.5,3.2,3.6,3.2,3.2,3.36,45,36,37,42,46,0,0,F,Private,PlusTwo,0
3.55,2.8,3.2,1.6,2.8,2.79,47,43,45,46,43,2.7,70,B-,Govt,PlusTwo,1
3.65,3.6,3.6,3.6,3.2,3.43,0,0,0,0,0,0,0,F,Govt,PlusTwo,0
3.6,2.8,3.6,3.6,3.6,3.36,30,36,35,41,39,2,60,C,Govt,PlusTwo,1
3.45,3.2,3.2,2.8,2.4,2.42,35,37,36,41,40,0,0,F,Govt,Bachelor,0
3.06,3.2,3.2,2.8,4,3.24,37,36,36,41,36,0,0,F,Private,PlusTwo,0
3.7,3.6,2.4,2.8,4,3.29,45,43,41,41,41,0,0,F,Govt,SLC,0
2.82,2.8,2.8,2.8,2.4,2.82,37,35,36,40,38,0,0,F,Govt,Bachelor,0
3.6,2.4,4,3.6,4,3.75,35,36,40,42,43,0,0,F,Private,Master,0
3.9,3.2,4,4,4,3.71,44,38,45,42,39,3.48,85,A-,Govt,Bachelor,1
3.6,2.8,2.8,2.4,2.8,2.94,40,36,37,44,39,0,0,F,Govt,PlusTwo,0
3.65,3.2,2.8,2.8,2.8,3.13,45,36,41,41,40,2,60,C,Govt,SLC,1
3.45,2.8,3.2,3.2,3.2,3.29,37,36,36,40,39,0,0,F,Private,Bachelor,0
3.5,3.2,3.2,2.4,2.8,3.14,35,37,36,43,41,2.89,75,B,Private,PlusTwo,1
3.65,3.2,3.2,3.2,2.8,2.79,23,35,35,39,31,0,0,F,Private,Bachelor,0
3.65,2.8,2,2.4,2.8,2.7,30,35,36,41,35,0,0,F,Govt,PlusTwo,0
3.6,3.2,2,2.8,2.8,3.36,35,49,43,45,42,3.58,85,A-,Private,PlusTwo,1
3.65,2.8,2.4,2.8,2.8,2.87,42,39,42,42,41,2,60,C,Private,SLC,1
3.85,3.6,4,4,3.6,3.78,48,46,46,47,47,3.71,90,A,Govt,PlusTwo,1
3.65,3.2,2.8,2.4,2.8,3.15,45,48,45,46,45,1.9,60,C,Govt,Bachelor,1
3.7,3.6,4,3.6,3.2,3.5,47,44,46,46,40,0,0,F,Private,PlusTwo,0
3.45,2.8,3.6,3.2,3.6,3.36,40,47,45,47,47,2.47,70,B-,Govt,Master,1
3.22,2.8,2.8,3.2,3.2,3.22,42,45,37,42,42,2.74,75,B,Govt,Master,1
3.93,2.8,4,2.8,2.4,3.22,45,42,42,46,44,2.83,75,B,Private,SLC,1
3.6,3.2,3.6,2.8,2.8,3.15,30,49,37,44,40,0,0,F,Private,SLC,0
3.7,3.6,4,3.2,3.2,3.43,30,42,36,42,39,0,0,F,Private,PlusTwo,0
3.7,3.6,4,3.2,3.2,3.5,41,36,41,42,44,0,0,F,Private,Bachelor,0
3.6,3.6,4,3.2,3.2,3.5,39,42,40,44,44,2.59,70,B-,Private,PlusTwo,1
3.55,3.6,3.2,3.6,3.2,3.41,35,47,38,41,39,0,0,F,Private,SLC,0
